Date;NumNewFeature
2006-10;3
2006-11;2
2006-12;3
2007-01;2
2007-02;3
2007-03;4
2007-04;5
2007-05;2
2007-06;0
2007-07;0
2007-08;0
2007-09;1
2007-10;2
2007-11;0
2007-12;5
2008-01;2
2008-02;2
2008-03;2
2008-04;4
2008-05;7
2008-06;1
2008-07;3
2008-08;2
2008-09;2
2008-10;9
2008-11;2
2008-12;2
2009-01;6
2009-02;3
2009-03;2
2009-04;0
2009-05;2
2009-06;3
2009-07;1
2009-08;1
2009-09;6
2009-10;0
2009-11;0
2009-12;2
2010-01;3
2010-02;0
2010-03;1
2010-04;2
2010-05;0
2010-06;0
2010-07;1
2010-08;6
2010-09;2
2010-10;2
2010-11;5
2010-12;3
2011-01;0
2011-02;6
2011-03;3
2011-04;0
2011-05;1
2011-06;1
2011-07;0
2011-08;0
2011-09;2
2011-10;1
2011-11;6
2011-12;1
2012-01;1
2012-02;9
2012-03;0
2012-04;1
2012-05;2
2012-06;2
2012-07;0
2012-08;1
2012-09;4
2012-10;0
2012-11;0
2012-12;0
2013-01;1
2013-02;0
2013-03;4
2013-04;5
2013-05;1
2013-06;1
2013-07;0
2013-08;0
2013-09;1
2013-10;2
2013-11;1
2013-12;0
2014-01;0
2014-02;0
2014-03;0
2014-04;0
2014-05;0
2014-06;0
2014-07;0
2014-08;1
2014-09;1
2014-10;1
2014-11;0
2014-12;0
2015-01;1
2015-02;2
2015-03;0
2015-04;0
2015-05;0
2015-06;0
2015-07;0
2015-08;0
2015-09;0
2015-10;0
2015-11;0
2015-12;0
2016-01;0
2016-02;0
2016-03;0
2016-04;0
2016-05;0
2016-06;0
2016-07;0
2016-08;1
