Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,121,333,4,1,2,235,137,58.75,137,137,34.25,4,1,1.00,35,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,215,436,5,1,2,340,252,68.00,244,252,48.80,9,2,1.80,35,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,950,1466,15,0,3,1246,545,83.07,1026,545,68.40,21,3,1.40,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,78,150,4,0,3,121,81,30.25,92,81,23.00,12,4,3.00,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,170,210,5,0,2,195,168,39.00,180,168,36.00,15,5,3.00,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,441,795,10,0,3,633,487,63.30,471,487,47.10,30,6,3.00,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,185,216,6,0,3,210,124,35.00,204,124,34.00,28,7,4.67,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,516,691,8,0,3,621,536,77.63,551,536,68.88,36,8,4.50,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,132,187,6,0,3,168,133,28.00,149,133,24.83,39,9,6.50,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,152,171,4,0,3,164,151,41.00,157,151,39.25,33,10,8.25,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,124,147,2,0,1,147,147,73.50,147,147,73.50,20,11,10.00,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,123,401,6,0,3,269,126,44.83,137,126,22.83,36,12,6.00,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,241,289,5,0,3,280,249,56.00,271,249,54.20,41,13,8.20,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,495,1532,10,0,3,1040,410,104.00,548,410,54.80,68,14,6.80,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,694,1134,6,0,2,931,714,155.17,728,714,121.33,31,9,5.17,5,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,174,219,5,0,2,212,204,42.40,205,204,41.00,54,15,10.80,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,56,3,0,2,53,50,17.67,50,50,16.67,45,16,15.00,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,148,229,6,0,3,207,184,34.50,185,184,30.83,64,17,10.67,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,55,71,4,0,3,66,61,16.50,61,61,15.25,56,18,14.00,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,139,263,9,0,3,210,167,23.33,157,167,17.44,89,19,9.89,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,71,103,5,0,3,92,80,18.40,81,80,16.20,77,20,15.40,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,71,182,4,0,2,133,83,33.25,84,83,21.00,74,21,18.50,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,674,2162,13,0,3,1462,547,112.46,762,547,58.62,121,22,9.31,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,215,328,8,0,3,288,198,36.00,248,198,31.00,99,23,12.38,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,153,295,10,0,3,232,140,23.20,169,140,16.90,126,24,12.60,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,167,252,7,0,3,224,178,32.00,196,178,28.00,111,25,15.86,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,53,85,5,0,3,76,67,15.20,67,67,13.40,84,26,16.80,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,141,199,5,0,3,182,138,36.40,165,138,33.00,109,27,21.80,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,144,213,5,0,3,193,170,38.60,173,170,34.60,114,28,22.80,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,91,151,6,0,2,127,101,21.17,103,101,17.17,71,28,11.83,18,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,70,78,1,0,1,78,78,78.00,78,78,78.00,15,15,15.00,2,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,69,89,3,0,2,88,87,29.33,87,87,29.00,85,29,28.33,35,Yes
