Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java,101,140,2,0,1,133,116,66.50,126,116,63.00,2,1,1.00,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java,55,65,1,0,1,65,65,65.00,65,65,65.00,1,1,1.00,4,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java,46,71,3,0,1,63,55,21.00,55,55,18.33,5,2,1.67,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java,72,107,2,0,1,98,88,49.00,89,88,44.50,6,3,3.00,20,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java,38,44,1,0,1,44,44,44.00,44,44,44.00,1,1,1.00,7,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java,56,113,4,0,1,90,49,22.50,67,49,16.75,10,4,2.50,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java,19,21,1,0,1,21,21,21.00,21,21,21.00,5,5,5.00,16,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java,262,423,4,0,1,376,170,94.00,329,170,82.25,15,7,3.75,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/DataType.java,56,68,1,0,1,68,68,68.00,68,68,68.00,3,3,3.00,7,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/DropTable.java,36,55,2,0,1,48,34,24.00,41,34,20.50,11,8,5.50,17,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/ExistsPredicate.java,38,44,1,0,1,44,44,44.00,44,44,44.00,2,2,2.00,6,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Expr.java,96,132,2,0,1,124,98,62.00,116,98,58.00,15,9,7.50,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/ExprVisitor.java,17,19,1,0,1,19,19,19.00,19,19,19.00,10,10,10.00,16,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/FunctionExpr.java,63,79,3,0,1,77,45,25.67,75,45,25.00,20,11,6.67,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/GeneralSetFunctionExpr.java,24,34,2,0,1,31,21,15.50,28,21,14.00,8,6,4.00,16,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Having.java,47,56,1,0,1,56,56,56.00,56,56,56.00,12,12,12.00,16,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/InPredicate.java,34,27,2,0,1,20,13,10.00,13,7,6.50,14,13,7.00,2289,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Insert.java,99,124,1,0,1,124,124,124.00,124,124,124.00,1,1,1.00,10,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/IsNullPredicate.java,38,41,2,0,1,17,11,8.50,-7,0,-3.50,15,14,7.50,2289,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Join.java,77,126,2,0,1,110,82,55.00,94,82,47.00,24,15,12.00,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/JoinType.java,30,36,2,0,1,34,28,17.00,32,28,16.00,11,10,5.50,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/JsonHelper.java,46,59,2,0,1,58,57,29.00,57,57,28.50,27,16,13.50,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/JsonSerializable.java,21,23,1,0,1,23,23,23.00,23,23,23.00,12,12,12.00,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Limit.java,41,61,2,0,1,55,49,27.50,49,49,24.50,32,18,16.00,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/LiteralValue.java,46,70,3,0,1,62,53,20.67,54,53,18.00,35,19,11.67,20,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/NotExpr.java,28,16,1,0,1,10,10,10.00,4,4,4.00,20,20,20.00,2289,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/NullValue.java,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/OpType.java,109,174,10,0,1,152,99,15.20,130,99,13.00,48,22,4.80,20,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/PatternMatchPredicate.java,59,69,1,0,1,69,69,69.00,69,69,69.00,3,3,3.00,8,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Projection.java,59,88,2,0,1,80,68,40.00,72,68,36.00,39,23,19.50,20,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Relation.java,61,88,2,0,1,81,70,40.50,74,70,37.00,41,24,20.50,20,No
